case_id,activity,step_index,percent_done,timestamp,resource,weather_condition,traffic_index,weekday,is_holiday,delay_so_far,driver_factor,black_swan_event,black_swan_delay,label_remaining_time,label_next_activity,label_on_time,label_risk_score
CASE_0001,Abholung,1,0.2,2024-07-14 09:52:00.000000,Fahrer_15,klar,0.6,6,0,3.9,0.85,none,0.0,684.8,Depot_Eingang,1,-0.28
CASE_0001,Depot_Eingang,2,0.4,2024-07-14 10:59:54.455283,Fahrer_15,klar,0.3,6,0,-13.0,0.85,none,0.0,616.9,Zollabfertigung,1,-0.28
CASE_0001,Zollabfertigung,3,0.6,2024-07-14 13:36:58.226701,Fahrer_15,klar,0.0,6,0,-52.4,0.85,none,0.0,459.8,Hauptlauf,1,-0.28
CASE_0001,Hauptlauf,4,0.8,2024-07-14 17:19:38.768430,Fahrer_15,klar,0.64,6,0,-79.2,0.85,none,0.0,237.1,Auslieferung,1,-0.28
CASE_0001,Auslieferung,5,1.0,2024-07-14 21:16:46.215538,Fahrer_15,klar,0.11,6,0,-83.4,0.85,none,0.0,0.0,END,1,-0.28
CASE_0002,Abholung,1,0.2,2024-02-22 11:58:00.000000,Fahrer_13,klar,0.31,3,0,19.6,1.03,none,0.0,1291.5,Depot_Eingang,0,1.0
CASE_0002,Depot_Eingang,2,0.4,2024-02-22 13:19:33.157300,Fahrer_13,klar,0.31,3,0,30.5,1.03,none,0.0,1210.0,Zollabfertigung,0,1.0
CASE_0002,Zollabfertigung,3,0.6,2024-02-22 15:12:30.674419,Fahrer_13,schnee,0.43,3,0,198.8,1.03,none,0.0,1097.0,Hauptlauf,0,1.0
CASE_0002,Hauptlauf,4,0.8,2024-02-23 00:58:47.038563,Fahrer_13,klar,0.55,4,0,284.5,1.03,none,0.0,510.7,Auslieferung,0,1.0
CASE_0002,Auslieferung,5,1.0,2024-02-23 09:29:30.436153,Fahrer_13,nebel,0.78,4,0,339.9,1.03,none,0.0,0.0,END,0,1.0
CASE_0003,Abholung,1,0.25,2024-09-20 10:36:00.000000,Fahrer_1,regen,0.47,4,0,56.3,1.09,none,0.0,872.6,Depot_Eingang,0,0.94
CASE_0003,Depot_Eingang,2,0.5,2024-09-20 12:19:20.599570,Fahrer_1,klar,0.47,4,0,96.4,1.09,none,0.0,769.2,Hauptlauf,0,0.94
CASE_0003,Hauptlauf,3,0.75,2024-09-20 14:07:24.170772,Fahrer_1,klar,0.5,4,0,228.6,1.09,none,0.0,661.1,Auslieferung,0,0.94
CASE_0003,Auslieferung,4,1.0,2024-09-21 01:08:33.011830,Fahrer_1,regen,0.17,5,0,281.5,1.09,none,0.0,0.0,END,0,0.94
CASE_0004,Abholung,1,0.25,2024-10-02 18:38:00.000000,Fahrer_6,klar,0.64,2,0,8.3,0.88,none,0.0,350.6,Depot_Eingang,1,0.02
CASE_0004,Depot_Eingang,2,0.5,2024-10-02 20:14:20.121772,Fahrer_6,klar,0.31,2,0,14.5,0.88,none,0.0,254.3,Hauptlauf,1,0.02
CASE_0004,Hauptlauf,3,0.75,2024-10-02 21:29:28.088889,Fahrer_6,klar,0.35,2,0,1.6,0.88,none,0.0,179.1,Auslieferung,1,0.02
CASE_0004,Auslieferung,4,1.0,2024-10-03 00:28:35.420330,Fahrer_6,klar,0.32,3,0,6.2,0.88,none,0.0,0.0,END,1,0.02
CASE_0005,Abholung,1,0.25,2024-12-13 10:59:00.000000,Fahrer_5,klar,0.53,4,0,4.7,0.9,none,0.0,714.3,Depot_Eingang,0,0.39
CASE_0005,Depot_Eingang,2,0.5,2024-12-13 12:18:39.537598,Fahrer_5,regen,0.5,4,0,28.6,0.9,none,0.0,634.7,Hauptlauf,0,0.39
CASE_0005,Hauptlauf,3,0.75,2024-12-13 13:43:37.711036,Fahrer_5,schnee,0.43,4,0,72.3,0.9,none,0.0,549.7,Auslieferung,0,0.39
CASE_0005,Auslieferung,4,1.0,2024-12-13 22:53:19.220767,Fahrer_5,regen,0.5,4,0,116.8,0.9,none,0.0,0.0,END,0,0.39
CASE_0006,Abholung,1,0.2,2024-09-28 17:09:00.000000,Fahrer_9,klar,0.53,5,0,28.2,1.08,none,0.0,806.4,Depot_Eingang,0,0.63
CASE_0006,Depot_Eingang,2,0.4,2024-09-28 18:31:12.461081,Fahrer_9,regen,0.57,5,0,72.1,1.08,none,0.0,724.2,Zollabfertigung,0,0.63
CASE_0006,Zollabfertigung,3,0.6,2024-09-28 20:19:07.129650,Fahrer_9,klar,0.03,5,0,116.7,1.08,none,0.0,616.3,Hauptlauf,0,0.63
CASE_0006,Hauptlauf,4,0.8,2024-09-29 00:46:42.355540,Fahrer_9,klar,0.1,6,0,175.4,1.08,none,0.0,348.7,Auslieferung,0,0.63
CASE_0006,Auslieferung,5,1.0,2024-09-29 06:35:24.970465,Fahrer_9,klar,0.14,6,0,190.3,1.08,none,0.0,0.0,END,0,0.63
CASE_0007,Abholung,1,0.25,2024-09-28 15:50:00.000000,Fahrer_15,klar,0.29,5,0,35.2,1.25,none,0.0,762.5,Depot_Eingang,0,1.0
CASE_0007,Depot_Eingang,2,0.5,2024-09-28 17:51:14.820335,Fahrer_15,klar,0.51,5,0,124.3,1.25,none,0.0,641.2,Hauptlauf,0,1.0
CASE_0007,Hauptlauf,3,0.75,2024-09-28 22:20:19.961373,Fahrer_15,schnee,0.06,5,0,296.5,1.25,Grenzsperre,693.8,372.1,Auslieferung,0,1.0
CASE_0007,Auslieferung,4,1.0,2024-09-29 04:32:28.699695,Fahrer_15,klar,0.04,6,0,325.4,1.25,none,0.0,0.0,END,0,1.0
